X2 Cr Ni 19-11;
Déplacement (mm);Force (N)
0.00501;31.99
0.00501;31.99
0.00501;16
0.00501;31.99
0.00501;16
0.00501;16
0.00501;16
0.00501;31.99
0.00501;31.99
0.00501;16
0.00501;16
0.00501;16
0.00501;16
0.00501;16
0.00501;16
0.00501;31.99
0.00501;16
0.00501;16
0.00501;16
0.00501;16
0.00501;16
0.00501;16
0.00501;16
0.00501;16
0.00501;16
0.00501;16
0.00501;16
0.00501;16
0.00501;16
0.00501;16
0.00501;16
0.00501;16
0.00501;16
0.00501;16
0.00501;16
0.00501;16
0.00501;16
0.00501;16
0.00501;16
0.00501;16
0.00501;16
0.00501;16
0.00501;16
0.00501;16
0.00501;16
0.00501;16
0.00501;16
0.00501;16
0.00501;16
0.00501;16
0.00501;31.99
0.00501;31.99
0.00501;16
0.00501;16
0.00501;16
0.00501;16
0.00501;16
0.00501;31.99
0.00501;16
0.00501;16
0.00501;16
0.00501;16
0.00501;16
0.00501;16
0.00501;16
0.00501;16
0.00501;16
0.009185;16
0.009185;0
0.009185;16
0.009185;16
0.009185;16
0.009185;16
0.009185;16
0.009185;16
0.009185;16
0.009185;0
0.009185;16
0.009185;16
0.009185;16
0.009185;16
0.009185;16
0.009185;16
0.009185;16
0.009185;16
0.009185;16
0.009185;16
0.009185;16
0.009185;16
0.009185;16
0.009185;16
0.009185;16
0.009185;16
0.009185;16
0.009185;16
0.009185;16
0.009185;16
0.009185;16
0.009185;16
0.009185;16
0.009185;16
0.009185;16
0.009185;16
0.009185;16
0.009185;0
0.009185;16
0.009185;16
0.009185;16
0.009185;16
0.009185;16
0.009185;16
0.009185;16
0.009185;16
0.009185;16
0.009185;16
0.009185;16
0.009185;31.99
0.009185;16
0.009185;0
0.009185;16
0.009185;16
0.009185;16
0.009185;16
0.009185;16
0.009185;16
0.009185;16
0.009185;16
0.009185;16
0.009185;16
0.009185;16
0.009185;0
0.009185;16
0.009185;16
0.009185;16
0.009185;16
0.009185;16
0.009185;16
0.009185;16
0.009185;16
0.009185;16
0.009185;31.99
0.009185;16
0.014195;16
0.014195;16
0.014195;16
0.014195;16
0.014195;31.99
0.01837;16
0.01837;16
0.02338;16
0.02338;16
0.02839;16
0.02839;16
0.02839;16
0.02839;16
0.032565;16
0.032565;31.99
0.032565;16
0.037575;31.99
0.037575;16
0.037575;31.99
0.037575;16
0.037575;31.99
0.042585;16
0.042585;31.99
0.04676;16
0.04676;31.99
0.04676;16
0.05177;31.99
0.05177;16
0.05177;31.99
0.055945;31.99
0.055945;47.99
0.055945;47.99
0.055945;63.98
0.060955;79.98
0.060955;95.97
0.060955;111.97
0.060955;143.96
0.060955;143.96
0.060955;175.95
0.065965;127.96
0.065965;143.96
0.065965;175.95
0.065965;191.94
0.065965;207.94
0.065965;223.94
0.065965;223.94
0.065965;255.93
0.065965;271.92
0.065965;303.91
0.065965;335.9
0.065965;399.88
0.065965;495.86
0.07014;431.88
0.07014;527.85
0.07014;575.83
0.07515;303.91
0.07515;319.91
0.07515;367.89
0.07515;431.88
0.07515;479.86
0.07515;543.84
0.07515;575.83
0.07515;639.82
0.07515;735.79
0.079325;671.81
0.079325;767.78
0.079325;831.76
0.079325;863.75
0.079325;927.73
0.079325;959.72
0.079325;1023.7
0.084335;1055.69
0.084335;1103.68
0.084335;1135.67
0.084335;1183.66
0.084335;1215.65
0.084335;1279.63
0.084335;1343.61
0.084335;1423.59
0.084335;1487.57
0.084335;1599.54
0.089345;1295.63
0.089345;1375.6
0.089345;1439.58
0.089345;1503.57
0.089345;1551.55
0.089345;1567.55
0.089345;1615.53
0.089345;1647.52
0.089345;1663.52
0.089345;1679.51
0.089345;1695.51
0.089345;1711.51
0.089345;1727.5
0.089345;1743.5
0.089345;1743.5
0.089345;1759.49
0.089345;1759.49
0.089345;1759.49
0.089345;1759.49
0.089345;1759.49
0.089345;1759.49
0.089345;1759.49
0.089345;1759.49
0.089345;1759.49
0.089345;1775.49
0.089345;1791.48
0.089345;1807.48
0.089345;1855.46
0.089345;1871.46
0.089345;1903.45
0.089345;1967.43
0.09352;1919.45
0.09352;1983.43
0.09352;1999.42
0.09352;2015.42
0.09352;2063.4
0.09352;2079.4
0.09352;2111.39
0.09352;2127.38
0.09352;2175.37
0.09352;2191.37
0.09352;2239.35
0.09352;2255.35
0.09352;2303.33
0.09352;2351.32
0.09352;2415.3
0.09352;2479.28
0.09352;2543.26
0.09853;2319.33
0.09853;2367.32
0.09853;2431.3
0.09853;2495.28
0.09853;2559.26
0.09853;2591.25
0.09853;2623.24
0.09853;2655.23
0.09853;2671.23
0.09853;2719.21
0.09853;2735.21
0.09853;2783.2
0.09853;2847.18
0.09853;2911.16
0.09853;2975.14
0.09853;3023.13
0.09853;3103.1
0.10354;2799.19
0.10354;2863.17
0.10354;2927.15
0.10354;2991.14
0.10354;3055.12
0.10354;3119.1
0.10354;3167.08
0.10354;3183.08
0.10354;3215.07
0.10354;3247.06
0.10354;3279.05
0.10354;3311.04
0.10354;3343.03
0.10354;3359.03
0.10354;3407.01
0.10354;3471
0.10354;3598.96
0.107715;3423.01
0.107715;3486.99
0.107715;3534.98
0.107715;3550.97
0.107715;3614.95
0.107715;3662.94
0.107715;3678.94
0.107715;3726.92
0.107715;3758.91
0.107715;3790.9
0.107715;3806.9
0.107715;3854.89
0.107715;3982.85
0.112725;3870.88
0.112725;3918.87
0.112725;3950.86
0.112725;4014.84
0.112725;4046.83
0.112725;4078.82
0.112725;4110.81
0.112725;4142.8
0.112725;4174.79
0.112725;4206.78
0.112725;4238.77
0.112725;4270.77
0.112725;4302.76
0.112725;4334.75
0.112725;4366.74
0.112725;4382.73
0.112725;4430.72
0.112725;4494.7
0.1169;4446.71
0.1169;4510.7
0.1169;4558.68
0.1169;4590.67
0.1169;4622.66
0.1169;4654.65
0.1169;4686.64
0.1169;4718.64
0.1169;4750.63
0.1169;4830.6
0.12191;4782.62
0.12191;4846.6
0.12191;4878.59
0.12191;4910.58
0.12191;4942.57
0.12191;4974.56
0.12191;5022.55
0.12191;5038.54
0.12191;5086.53
0.12191;5102.52
0.12191;5150.51
0.12191;5182.5
0.12191;5214.49
0.12191;5246.48
0.12191;5294.47
0.12191;5358.45
0.12692;5310.46
0.12692;5374.45
0.12692;5422.43
0.12692;5438.43
0.12692;5486.41
0.12692;5502.41
0.12692;5550.4
0.12692;5566.39
0.12692;5598.38
0.12692;5630.37
0.12692;5662.36
0.12692;5694.35
0.12692;5726.34
0.12692;5790.33
0.12692;5854.31
0.12692;5918.29
0.131095;5758.34
0.131095;5822.32
0.131095;5886.3
0.131095;5934.28
0.131095;5982.27
0.131095;5998.27
0.131095;6046.25
0.131095;6110.23
0.131095;6174.21
0.131095;6238.2
0.131095;6302.18
0.136105;6062.25
0.136105;6142.22
0.136105;6190.21
0.136105;6254.19
0.136105;6318.17
0.136105;6366.16
0.136105;6382.15
0.136105;6430.14
0.136105;6446.14
0.136105;6478.13
0.136105;6494.12
0.136105;6526.11
0.136105;6558.1
0.136105;6590.09
0.136105;6654.08
0.136105;6702.06
0.136105;6750.05
0.14028;6606.09
0.14028;6670.07
0.14028;6718.06
0.14028;6782.04
0.14028;6814.03
0.14028;6830.03
0.14028;6862.02
0.14028;6878.01
0.14028;6910
0.14028;6926
0.14028;6973.98
0.14028;7021.97
0.14028;7069.96
0.14028;7117.94
0.14028;7165.93
0.14028;7213.91
0.14529;6989.98
0.14529;7037.97
0.14529;7085.95
0.14529;7133.94
0.14529;7197.92
0.14529;7245.91
0.14529;7277.9
0.14529;7293.89
0.14529;7325.88
0.1503;7325.88
0.1503;7357.87
0.1503;7373.87
0.1503;7405.86
0.1503;7405.86
0.1503;7437.85
0.1503;7453.84
0.1503;7469.84
0.1503;7485.84
0.1503;7517.83
0.1503;7533.82
0.1503;7549.82
0.1503;7565.81
0.1503;7597.8
0.1503;7597.8
0.1503;7629.79
0.1503;7629.79
0.154475;7661.78
0.154475;7661.78
0.154475;7693.78
0.154475;7693.78
0.154475;7725.77
0.154475;7725.77
0.154475;7757.76
0.154475;7789.75
0.159485;7757.76
0.159485;7789.75
0.159485;7821.74
0.159485;7821.74
0.159485;7837.73
0.159485;7853.73
0.159485;7869.72
0.159485;7885.72
0.159485;7901.72
0.159485;7917.71
0.159485;7933.71
0.159485;7949.7
0.159485;7965.7
0.159485;7981.69
0.164495;7933.71
0.164495;7949.7
0.164495;7965.7
0.164495;7981.69
0.164495;8013.68
0.164495;8013.68
0.164495;8029.68
0.164495;8029.68
0.164495;8045.67
0.164495;8061.67
0.164495;8077.66
0.164495;8077.66
0.164495;8093.66
0.164495;8093.66
0.164495;8109.66
0.164495;8125.65
0.16867;8109.66
