PVC;
Déplacement (mm);Force (N)
0;31.99
0;31.99
0;31.99
0;31.99
0;31.99
0;31.99
0;31.99
0;31.99
0;16
0;16
0;31.99
0;31.99
0;31.99
0;31.99
0;31.99
0;31.99
0;31.99
0;31.99
0;31.99
0;31.99
0;31.99
0;31.99
0;31.99
0;31.99
0;31.99
0;31.99
0;31.99
0;31.99
0;31.99
0;31.99
0;31.99
0;31.99
0;31.99
0;16
0;16
0.06;0
0.06;0
0.06;0
0.06;0
0.06;0
0.06;0
0.06;0
0.06;0
0.06;0
0.06;0
0.06;0
0.06;0
0.06;0
0.06;0
0.06;0
0.06;0
0.06;0
0.06;0
0.06;0
0.06;0
0.06;0
0.06;0
0.06;0
0.06;0
0.06;0
0.06;0
0.06;0
0.06;0
0.06;0
0.06;0
0.06;0
0.06;0
0.06;0
0.06;0
0.06;0
0.06;31.99
0.06;47.99
0.11;16
0.11;16
0.11;47.99
0.17;31.99
0.17;63.98
0.17;47.99
0.17;79.98
0.22;63.98
0.22;79.98
0.28;63.98
0.28;79.98
0.28;79.98
0.34;63.98
0.34;95.97
0.34;95.97
0.39;63.98
0.39;63.98
0.39;63.98
0.39;95.97
0.45;79.98
0.45;95.97
0.45;63.98
0.45;95.97
0.51;95.97
0.56;63.98
0.56;79.98
0.56;111.97
0.56;95.97
0.56;127.96
0.56;159.95
0.62;127.96
0.62;143.96
0.62;159.95
0.62;175.95
0.67;143.96
0.67;127.96
0.67;159.95
0.67;175.95
0.73;143.96
0.73;175.95
0.73;159.95
0.73;175.95
0.73;159.95
0.73;159.95
0.73;191.94
0.73;175.95
0.73;191.94
0.73;175.95
0.73;207.94
0.73;207.94
0.73;239.93
0.79;191.94
0.79;191.94
0.79;223.94
0.79;207.94
0.79;223.94
0.79;255.93
0.79;271.92
0.84;239.93
0.84;255.93
0.84;287.92
0.84;303.91
0.9;271.92
0.9;287.92
0.9;319.91
0.9;303.91
0.9;335.9
0.9;319.91
0.9;351.9
0.95;335.9
0.95;367.89
0.95;351.9
0.95;367.89
0.95;383.89
0.95;399.88
1.01;367.89
1.01;367.89
1.01;383.89
1.01;415.88
1.01;431.88
1.01;431.88
1.07;399.88
1.07;415.88
1.07;415.88
1.07;447.87
1.07;431.88
1.07;463.87
1.07;463.87
1.07;495.86
1.12;447.87
1.12;447.87
1.12;479.86
1.12;463.87
1.12;479.86
1.12;511.85
1.12;511.85
1.12;527.85
1.18;479.86
1.18;495.86
1.18;495.86
1.18;527.85
1.18;511.85
1.18;543.84
1.18;543.84
1.18;543.84
1.18;559.84
1.18;559.84
1.24;511.85
1.24;527.85
1.24;527.85
1.24;543.84
1.24;543.84
1.24;575.83
1.24;559.84
1.24;591.83
1.24;591.83
1.29;575.83
1.29;575.83
1.29;607.82
1.29;591.83
1.29;623.82
1.29;607.82
1.29;639.82
1.29;639.82
1.29;655.81
1.35;623.82
1.35;623.82
1.35;639.82
1.35;671.81
1.35;655.81
1.35;671.81
1.35;687.8
1.35;703.8
1.4;655.81
1.4;671.81
1.4;687.8
1.4;703.8
1.4;687.8
1.4;719.79
1.4;735.79
1.46;703.8
1.46;719.79
1.46;735.79
1.46;735.79
1.46;751.78
1.46;735.79
1.46;767.78
1.46;783.77
1.52;751.78
1.52;751.78
1.52;783.77
1.52;799.77
1.52;815.76
1.57;767.78
1.57;783.77
1.57;783.77
1.57;815.76
1.57;831.76
1.57;847.75
1.63;799.77
1.63;815.76
1.63;831.76
1.63;847.75
1.63;863.75
1.63;879.75
1.63;879.75
1.68;831.76
1.68;847.75
1.68;863.75
1.68;863.75
1.68;895.74
1.68;911.74
1.68;911.74
1.68;927.73
1.74;879.75
1.74;895.74
1.74;895.74
1.74;911.74
1.74;943.73
1.74;943.73
1.8;927.73
1.8;927.73
1.8;959.72
1.8;975.72
1.8;975.72
1.85;943.73
1.85;959.72
1.85;959.72
1.85;991.71
1.85;991.71
1.85;1007.71
1.85;1023.7
1.91;975.72
1.91;975.72
1.91;991.71
1.91;991.71
1.91;1023.7
1.91;1007.71
1.91;1039.7
1.91;1055.69
1.97;1023.7
1.97;1039.7
1.97;1023.7
1.97;1039.7
1.97;1055.69
1.97;1039.7
1.97;1071.69
2.02;1055.69
2.02;1087.69
2.02;1087.69
2.02;1103.68
2.02;1103.68
2.08;1071.69
2.08;1071.69
2.08;1087.69
2.08;1087.69
2.08;1119.68
2.08;1103.68
2.08;1119.68
2.13;1103.68
2.13;1135.67
2.13;1119.68
2.13;1135.67
2.13;1119.68
2.13;1151.67
2.13;1151.67
2.19;1135.67
2.19;1135.67
2.19;1167.66
2.19;1151.67
2.19;1167.66
2.25;1151.67
2.25;1183.66
2.25;1167.66
2.25;1183.66
2.25;1167.66
2.25;1199.65
2.25;1183.66
2.25;1199.65
2.25;1215.65
2.3;1183.66
2.3;1199.65
2.3;1215.65
2.3;1199.65
2.3;1215.65
2.3;1231.64
2.36;1215.65
2.36;1215.65
2.36;1231.64
2.36;1215.65
2.36;1247.64
2.36;1247.64
2.41;1231.64
2.41;1231.64
2.41;1247.64
2.41;1247.64
2.41;1263.63
2.41;1263.63
2.41;1279.63
2.47;1247.64
2.47;1247.64
2.47;1247.64
2.47;1279.63
2.47;1263.63
2.47;1279.63
2.47;1295.63
2.47;1295.63
2.53;1263.63
2.53;1279.63
2.53;1279.63
2.53;1295.63
2.53;1279.63
2.53;1295.63
2.53;1311.62
2.58;1295.63
2.58;1295.63
2.58;1311.62
2.58;1295.63
2.58;1311.62
2.58;1327.62
2.64;1295.63
2.64;1311.62
2.64;1327.62
2.64;1311.62
2.64;1327.62
2.64;1327.62
2.64;1327.62
2.7;1311.62
2.7;1311.62
2.7;1311.62
2.7;1343.61
2.7;1327.62
2.7;1343.61
2.75;1327.62
2.75;1343.61
2.75;1327.62
2.75;1343.61
2.75;1327.62
2.75;1343.61
2.75;1343.61
2.81;1327.62
2.81;1343.61
2.81;1359.61
2.81;1343.61
2.81;1359.61
2.81;1359.61
2.86;1343.61
2.86;1343.61
2.86;1359.61
2.86;1343.61
2.86;1359.61
2.86;1359.61
2.92;1343.61
2.92;1343.61
2.92;1359.61
2.92;1343.61
2.92;1359.61
2.92;1343.61
2.92;1359.61
2.98;1343.61
2.98;1359.61
2.98;1359.61
2.98;1359.61
2.98;1359.61
2.98;1359.61
2.98;1343.61
2.98;1359.61
2.98;1359.61
3.03;1359.61
3.03;1359.61
3.03;1359.61
3.03;1359.61
3.03;1359.61
3.03;1359.61
3.09;1359.61
3.09;1343.61
3.09;1359.61
3.09;1343.61
3.09;1359.61
3.09;1343.61
3.09;1359.61
3.09;1359.61
3.14;1343.61
3.14;1343.61
3.14;1359.61
3.14;1359.61
3.14;1343.61
3.2;1343.61
3.2;1343.61
3.2;1343.61
3.2;1359.61
3.2;1327.62
3.2;1343.61
3.2;1343.61
3.2;1343.61
3.26;1327.62
3.26;1327.62
3.26;1327.62
3.26;1343.61
3.26;1343.61
3.26;1327.62
3.31;1327.62
3.31;1327.62
3.31;1327.62
3.31;1327.62
3.31;1311.62
3.31;1327.62
3.31;1327.62
3.37;1311.62
3.37;1311.62
3.37;1311.62
3.37;1311.62
3.37;1327.62
3.37;1311.62
3.43;1311.62
3.43;1311.62
3.43;1311.62
3.43;1295.63
3.43;1311.62
3.43;1295.63
3.43;1311.62
3.43;1295.63
3.43;1295.63
3.48;1295.63
3.48;1295.63
3.48;1295.63
3.48;1295.63
3.48;1295.63
3.48;1295.63
3.54;1279.63
3.54;1295.63
3.54;1279.63
3.54;1295.63
3.54;1279.63
3.54;1279.63
3.59;1279.63
3.59;1279.63
3.59;1279.63
3.59;1279.63
3.59;1279.63
3.59;1279.63
3.65;1263.63
3.65;1263.63
3.65;1263.63
3.65;1263.63
3.65;1263.63
3.65;1263.63
3.65;1263.63
3.71;1247.64
3.71;1247.64
3.71;1263.63
3.71;1247.64
3.71;1247.64
3.76;1247.64
3.76;1247.64
3.76;1247.64
3.76;1247.64
3.76;1247.64
3.76;1247.64
3.82;1231.64
3.82;1231.64
3.82;1231.64
3.82;1247.64
3.82;1231.64
3.82;1231.64
3.82;1231.64
3.82;1231.64
3.87;1231.64
3.87;1231.64
3.87;1231.64
3.87;1231.64
3.87;1215.65
3.87;1231.64
3.87;1215.65
3.87;1231.64
3.87;1231.64
3.87;1215.65
3.93;1215.65
3.93;1215.65
3.93;1215.65
3.93;1215.65
3.99;1215.65
3.99;1215.65
3.99;1199.65
3.99;1215.65
3.99;1199.65
3.99;1215.65
3.99;1215.65
4.04;1199.65
4.04;1199.65
4.04;1199.65
4.04;1199.65
4.04;1199.65
4.04;1199.65
4.04;1199.65
4.1;1199.65
4.1;1199.65
4.1;1199.65
4.1;1199.65
4.1;1183.66
4.1;1199.65
4.1;1199.65
4.16;1183.66
4.16;1183.66
4.16;1199.65
4.16;1183.66
4.16;1183.66
4.16;1183.66
4.16;1183.66
4.16;1183.66
4.21;1183.66
4.21;1183.66
4.21;1183.66
4.21;1183.66
4.21;1183.66
4.27;1183.66
4.27;1183.66
4.27;1167.66
4.27;1183.66
4.27;1167.66
4.27;1183.66
4.27;1167.66
4.27;1167.66
4.32;1167.66
4.32;1167.66
4.32;1167.66
4.32;1167.66
4.32;1167.66
4.32;1167.66
4.32;1167.66
4.38;1167.66
4.38;1167.66
4.38;1167.66
4.38;1167.66
4.38;1167.66
4.44;1167.66
4.44;1167.66
4.44;1151.67
4.44;1167.66
4.44;1151.67
4.44;1167.66
4.44;1151.67
4.44;1167.66
4.49;1151.67
4.49;1167.66
4.49;1151.67
4.49;1151.67
4.49;1151.67
4.49;1151.67
4.55;1151.67
4.55;1151.67
4.55;1151.67
4.55;1151.67
4.55;1151.67
4.55;1151.67
4.55;1151.67
4.6;1151.67
4.6;1151.67
4.6;1151.67
4.6;1135.67
4.6;1151.67
4.6;1135.67
4.6;1135.67
4.6;1151.67
4.66;1135.67
4.66;1135.67
4.66;1135.67
4.66;1135.67
4.72;1135.67
4.72;1135.67
4.72;1135.67
4.72;1135.67
4.72;1135.67
4.72;1135.67
4.72;1135.67
4.77;1135.67
4.77;1135.67
4.77;1135.67
4.77;1135.67
4.77;1135.67
4.77;1135.67
4.77;1135.67
4.77;1135.67
4.83;1135.67
4.83;1135.67
4.83;1119.68
4.83;1135.67
4.83;1119.68
4.83;1119.68
4.89;1119.68
4.89;1119.68
4.89;1119.68
4.89;1119.68
4.89;1119.68
4.89;1119.68
4.94;1119.68
4.94;1119.68
4.94;1119.68
4.94;1119.68
4.94;1119.68
4.94;1119.68
4.94;1119.68
4.94;1119.68
4.94;1119.68
5;1119.68
5;1119.68
5;1119.68
5;1119.68
5;1119.68
5;1119.68
5;1103.68
5.05;1119.68
5.05;1119.68
5.05;1103.68
5.05;1103.68
5.05;1103.68
5.05;1103.68
5.05;1103.68
5.05;1103.68
5.05;1103.68
5.11;1103.68
5.11;1103.68
5.11;1103.68
5.17;1103.68
5.17;1103.68
5.17;1103.68
5.17;1103.68
5.17;1103.68
5.17;1103.68
5.17;1103.68
5.17;1103.68
5.22;1103.68
5.22;1103.68
5.22;1103.68
5.22;1103.68
5.22;1087.69
5.22;1103.68
5.22;1103.68
5.22;1103.68
5.28;1103.68
5.28;1087.69
5.28;1087.69
5.28;1087.69
5.28;1087.69
5.28;1087.69
5.33;1087.69
5.33;1087.69
5.33;1087.69
5.33;1087.69
5.33;1087.69
5.33;1087.69
5.33;1087.69
5.33;1087.69
5.39;1087.69
5.39;1087.69
5.39;1087.69
5.39;1087.69
5.45;1087.69
5.45;1087.69
5.45;1087.69
5.45;1087.69
5.45;1087.69
5.45;1087.69
5.5;1087.69
5.5;1087.69
5.5;1087.69
5.5;1087.69
5.5;1087.69
5.5;1071.69
5.5;1087.69
5.5;1071.69
5.56;1071.69
5.56;1071.69
5.56;1071.69
5.56;1071.69
5.56;1071.69
5.56;1071.69
5.62;1071.69
5.62;1071.69
5.62;1071.69
5.62;1071.69
5.62;1071.69
5.62;1071.69
5.67;1071.69
5.67;1071.69
5.67;1071.69
5.67;1071.69
5.67;1071.69
5.67;1071.69
5.67;1071.69
5.67;1071.69
5.67;1071.69
5.73;1071.69
5.73;1071.69
5.73;1055.69
5.73;1071.69
5.73;1055.69
5.78;1071.69
5.78;1055.69
5.78;1055.69
5.78;1055.69
5.78;1055.69
5.78;1055.69
5.84;1055.69
5.84;1055.69
5.84;1055.69
5.84;1055.69
5.84;1055.69
5.84;1055.69
5.84;1055.69
5.84;1055.69
5.9;1055.69
5.9;1055.69
5.9;1055.69
5.9;1055.69
5.9;1055.69
5.9;1055.69
5.95;1055.69
5.95;1055.69
5.95;1055.69
5.95;1055.69
5.95;1055.69
5.95;1055.69
5.95;1055.69
5.95;1039.7
6.01;1055.69
6.01;1039.7
6.01;1055.69
6.01;1039.7
6.01;1055.69
6.01;1039.7
6.06;1055.69
6.06;1039.7
6.06;1039.7
6.06;1039.7
6.06;1039.7
6.06;1039.7
6.12;1039.7
6.12;1039.7
6.12;1039.7
6.12;1039.7
6.12;1039.7
6.12;1039.7
6.18;1039.7
6.18;1039.7
6.18;1039.7
6.18;1039.7
6.18;1039.7
6.18;1039.7
6.18;1039.7
6.18;1039.7
6.23;1039.7
6.23;1023.7
6.23;1039.7
6.23;1023.7
6.29;1039.7
6.29;1023.7
6.29;1039.7
6.29;1023.7
6.29;1039.7
6.29;1023.7
6.29;1039.7
6.35;1023.7
6.35;1023.7
6.35;1023.7
6.35;1023.7
6.35;1023.7
6.4;1023.7
6.4;1023.7
6.4;1023.7
6.4;1023.7
6.4;1023.7
6.4;1023.7
6.4;1023.7
6.4;1023.7
6.46;1023.7
6.46;1023.7
6.46;1023.7
6.46;1023.7
6.46;1023.7
6.46;1007.71
6.51;1023.7
6.51;1007.71
6.51;1023.7
6.51;1007.71
6.51;1023.7
6.51;1007.71
6.51;1023.7
6.51;1007.71
6.57;1023.7
6.57;1007.71
6.57;1023.7
6.57;1007.71
6.57;1023.7
6.57;1007.71
6.57;1007.71
6.63;1007.71
6.63;1007.71
6.63;1007.71
6.63;1007.71
6.63;1007.71
6.63;1007.71
6.68;991.71
6.68;1007.71
6.68;991.71
6.68;1007.71
6.68;991.71
6.68;1007.71
6.74;991.71
6.74;1007.71
6.74;991.71
6.74;1007.71
6.74;991.71
6.79;1007.71
6.79;991.71
6.79;991.71
6.79;991.71
6.79;1007.71
6.79;991.71
6.79;991.71
6.79;991.71
6.79;991.71
6.85;991.71
6.85;991.71
6.85;991.71
6.85;991.71
6.85;991.71
6.85;991.71
6.91;991.71
6.91;991.71
6.91;991.71
6.91;991.71
6.96;975.72
6.96;991.71
6.96;975.72
6.96;991.71
6.96;975.72
6.96;991.71
6.96;975.72
6.96;991.71
6.96;975.72
7.02;991.71
7.02;975.72
7.02;991.71
7.02;975.72
7.02;991.71
7.02;975.72
7.02;975.72
7.02;975.72
7.02;975.72
7.08;975.72
7.08;975.72
7.08;975.72
7.08;975.72
7.08;975.72
7.08;975.72
7.08;975.72
7.13;975.72
7.13;975.72
7.13;975.72
7.13;959.72
7.13;975.72
7.19;959.72
7.19;975.72
7.19;959.72
7.24;975.72
7.24;959.72
7.24;975.72
7.24;959.72
7.24;975.72
7.24;959.72
7.24;975.72
7.24;959.72
7.3;975.72
7.3;959.72
7.3;959.72
7.3;959.72
7.3;959.72
7.3;959.72
7.3;975.72
7.36;959.72
7.36;959.72
7.36;959.72
7.36;959.72
7.36;959.72
7.36;959.72
7.36;959.72
7.36;959.72
7.41;959.72
7.41;959.72
7.41;943.73
7.41;959.72
7.47;943.73
7.47;959.72
7.47;943.73
7.47;959.72
7.47;943.73
7.47;959.72
7.47;943.73
7.47;959.72
7.47;943.73
7.47;959.72
7.47;943.73
7.52;943.73
7.52;943.73
7.52;943.73
7.58;943.73
7.58;943.73
7.58;943.73
7.58;943.73
7.58;943.73
7.64;927.73
7.64;927.73
7.64;943.73
7.64;927.73
7.64;943.73
7.64;927.73
7.64;943.73
7.64;927.73
7.64;943.73
7.69;927.73
7.69;943.73
7.69;927.73
7.69;943.73
7.69;927.73
7.69;943.73
7.69;927.73
7.75;943.73
7.75;927.73
7.75;943.73
7.75;927.73
7.75;943.73
7.81;927.73
7.81;943.73
7.81;927.73
7.81;927.73
7.81;927.73
7.81;927.73
7.81;927.73
7.81;927.73
7.86;927.73
7.86;927.73
7.86;927.73
7.86;927.73
7.86;927.73
7.86;927.73
7.86;927.73
7.92;927.73
7.92;911.74
7.92;927.73
7.92;911.74
7.92;927.73
7.92;911.74
7.92;927.73
7.97;911.74
7.97;927.73
7.97;911.74
7.97;927.73
7.97;911.74
8.03;927.73
8.03;911.74
8.03;927.73
8.03;911.74
8.03;927.73
8.03;911.74
8.03;927.73
8.09;911.74
8.09;927.73
8.09;911.74
8.09;911.74
8.09;911.74
8.09;911.74
8.14;911.74
8.14;911.74
8.14;911.74
8.14;911.74
8.14;911.74
8.14;911.74
8.2;911.74
8.2;911.74
8.2;911.74
8.2;911.74
8.2;911.74
8.2;911.74
8.2;895.74
8.2;911.74
8.25;895.74
8.25;911.74
8.25;895.74
8.25;911.74
8.25;895.74
8.25;911.74
8.25;895.74
8.25;911.74
8.31;895.74
8.31;911.74
8.31;895.74
8.31;911.74
8.31;911.74
8.37;895.74
8.37;895.74
8.37;911.74
8.37;895.74
8.37;911.74
8.37;895.74
8.42;911.74
8.42;895.74
8.42;911.74
8.42;895.74
8.42;911.74
8.42;895.74
8.42;911.74
8.42;911.74
8.48;895.74
8.48;895.74
8.48;911.74
8.48;895.74
8.48;895.74
8.48;895.74
8.54;879.75
8.54;879.75
8.54;895.74
8.54;895.74
8.54;895.74
8.54;895.74
8.54;895.74
8.59;895.74
8.59;895.74
8.59;879.75
8.59;895.74
8.59;879.75
8.59;895.74
8.59;895.74
8.65;879.75
8.65;879.75
8.65;895.74
8.65;879.75
8.65;895.74
8.65;879.75
8.65;895.74
8.65;879.75
8.65;895.74
8.7;879.75
8.7;895.74
8.7;879.75
8.7;895.74
8.7;895.74
8.76;879.75
8.76;879.75
8.76;895.74
8.76;879.75
8.76;895.74
8.76;879.75
8.76;895.74
8.82;879.75
8.82;879.75
8.82;879.75
8.82;895.74
8.82;879.75
8.82;895.74
8.82;879.75
8.82;895.74
8.87;879.75
8.87;895.74
8.87;879.75
8.87;879.75
8.87;879.75
8.87;879.75
8.93;879.75
8.93;879.75
8.93;863.75
8.93;879.75
8.93;863.75
8.93;879.75
8.93;879.75
8.98;879.75
8.98;879.75
8.98;879.75
8.98;863.75
8.98;879.75
9.04;863.75
9.04;879.75
9.04;863.75
9.04;879.75
9.04;863.75
9.04;879.75
9.1;863.75
9.1;879.75
9.1;863.75
9.1;879.75
9.1;863.75
9.1;879.75
9.1;863.75
9.1;879.75
9.1;879.75
9.15;863.75
9.15;863.75
9.15;879.75
9.15;863.75
9.15;879.75
9.15;879.75
9.21;863.75
9.21;863.75
9.21;879.75
9.21;863.75
9.21;879.75
9.21;863.75
9.27;879.75
9.27;863.75
9.27;879.75
9.27;863.75
9.27;879.75
9.27;863.75
9.27;879.75
9.27;863.75
9.32;879.75
9.32;863.75
9.32;879.75
9.32;863.75
9.32;879.75
9.32;863.75
9.32;879.75
9.38;863.75
9.38;863.75
9.38;863.75
9.38;879.75
9.43;863.75
9.43;863.75
9.43;863.75
9.43;879.75
9.43;863.75
