S 235;;
Deplacement (mm);Force (N);
0;16.00;0
0;0.00;
0;16.00;
0;0.00;
0;16.00;
0;0.00;
0;16.00;
0;0.00;
0;16.00;
0;0.00;
0;16.00;
0;0.00;
0;16.00;
0;0.00;
0;16.00;
0;0.00;
0;16.00;
0;0.00;
0;16.00;
0;0.00;
0;16.00;
0;0.00;
0;16.00;
0;0.00;
0;16.00;
0;0.00;
0;16.00;
0;0.00;
0;16.00;
0;0.00;
0;16.00;
0;0.00;
0;16.00;
0;0.00;
0;16.00;
0;0.00;
0;16.00;
0;0.00;
0;16.00;
0;0.00;
0;16.00;
0;0.00;
0;16.00;
0;0.00;
0;16.00;
0;0.00;
0;16.00;
0;0.00;
0;16.00;
0;0.00;
0;16.00;
0;0.00;
0;16.00;
0;0.00;
0;16.00;
0;0.00;
0;16.00;
0;16.00;
0;79.98;
0;127.96;
0;111.97;
0;111.97;
0.00280166435506241;47.99;
0.00513638465094776;95.97;
0.00513638465094776;111.97;
0.00513638465094776;95.97;
0.00513638465094776;111.97;
0.00793804900601017;95.97;
0.00793804900601017;111.97;
0.00793804900601017;111.97;
0.0102727693018956;95.97;
0.0102727693018956;111.97;
0.0102727693018956;111.97;
0.0130744336569579;95.97;
0.0130744336569579;127.96;
0.0130744336569579;143.96;
0.0130744336569579;159.95;
0.0158760980120203;143.96;
0.0182108183079057;143.96;
0.0182108183079057;159.95;
0.0182108183079057;207.94;
0.0182108183079057;191.94;
0.0182108183079057;207.94;
0.0182108183079057;191.94;
0.0182108183079057;223.94;
0.0182108183079057;239.93;
0.0182108183079057;255.93;
0.0182108183079057;255.93;
0.0182108183079057;271.92;
0.0182108183079057;287.92;
0.0182108183079057;335.9;
0.0182108183079057;447.87;
0.021012482662968;367.89;
0.021012482662968;495.86;
0.021012482662968;559.84;
0.021012482662968;703.8;
0.0238141470180306;623.82;
0.0238141470180306;767.78;
0.0238141470180306;847.75;
0.0238141470180306;911.74;
0.0238141470180306;1007.71;
0.0261488673139159;1071.69;
0.0261488673139159;1151.67;
0.0261488673139159;1215.65;
